STOP_ID_ANONY,STOP_FRISK_DATE,STOP_FRISK_TIME,MONTH2,DAY2,LOCATION_IN_OUT_CODE,JURISDICTION_CODE,JURISDICTION_DESCRIPTION,STOP_LOCATION_PRECINCT,STOP_LOCATION_SECTOR_CODE,STOP_LOCATION_FULL_ADDRESS,STOP_LOCATION_STREET_NAME,STOP_LOCATION_X,STOP_LOCATION_Y,STOP_LOCATION_ZIP_CODE,STOP_LOCATION_PATROL_BORO_NAME,STOP_LOCATION_BORO_NAME,STOP_ID_ANONY-2,SUSPECTED_CRIME_DESCRIPTION,SUSPECT_ARRESTED_FLAG,FRISKED_FLAG,SEARCHED_FLAG,ASK_FOR_CONSENT_FLG,CONSENT_GIVEN_FLG,OTHER_CONTRABAND_FLAG,FIREARM_FLAG,KNIFE_CUTTER_FLAG,OTHER_WEAPON_FLAG,WEAPON_FOUND_FLAG,STOP_ID_ANONY-1,ISSUING_OFFICER_RANK,ISSUING_OFFICER_COMMAND_CODE,SUPERVISING_OFFICER_RANK,SUPERVISING_OFFICER_COMMAND_CODE,OFFICER_IN_UNIFORM_FLAG,ID_CARD_IDENTIFIES_OFFICER_FLAG,SHIELD_IDENTIFIES_OFFICER_FLAG,VERBAL_IDENTIFIES_OFFICER_FLAG,SUSPECTS_ACTIONS_CASING_FLAG,SUSPECTS_ACTIONS_CONCEALED_POSSESSION_WEAPON_FLAG,SUSPECTS_ACTIONS_DECRIPTION_FLAG,SUSPECTS_ACTIONS_DRUG_TRANSACTIONS_FLAG,SUSPECTS_ACTIONS_IDENTIFY_CRIME_PATTERN_FLAG,SUSPECTS_ACTIONS_LOOKOUT_FLAG,SUSPECTS_ACTIONS_OTHER_FLAG,SUSPECTS_ACTIONS_PROXIMITY_TO_SCENE_FLAG,SUSPECT_REPORTED_AGE,SUSPECT_SEX,SUSPECT_RACE_DESCRIPTION,SUSPECT_HEIGHT,SUSPECT_WEIGHT,SUSPECT_BODY_BUILD_TYPE,SUSPECT_EYE_COLOR,SUSPECT_HAIR_COLOR
4072,11/8/2019,02:01:00,November,Friday,S,T,Transit,41,D,SIMPSON STREET && WESTCHESTER AVENUE,SIMPSON STREET,1013879,239551,,PBBX,BRONX,4072,ROBBERY,0,0,0,0,0,0,0,0,0,0,4072,POM,865,SGT,865,1,0,0,0,0,0,1,0,0,0,(null),Y,20,MALE,BLACK,5.8,165,THN,BRO,BLK
4073,9/14/2019,02:47:00,September,Saturday,,P,PSB,41,A,IRVINE STREET && SENECA AVENUE,IRVINE STREET,1015104,237577,,PBBX,BRONX,4073,CPW,1,0,1,1,1,1,0,1,0,1,4073,POF,41,SGT,41,1,0,0,0,0,1,0,0,0,0,(null),(null),57,MALE,BLACK,6,160,THN,BRO,BLD
4074,11/16/2019,19:16:00,November,Saturday,O,P,PSB,41,C,854 EAST 163 STREET,EAST 163 STREET,1011922,238758,,PBBX,BRONX,4074,ROBBERY,0,0,0,0,0,0,0,0,0,0,4074,POM,41,SGT,41,1,0,0,0,0,0,1,0,0,0,(null),Y,25,MALE,BLACK,5.1,170,THN,BRO,BLK
4075,11/20/2019,11:28:00,November,Wednesday,O,,,41,C,758 KELLY STREET,KELLY STREET,1012109,236900,,PBBX,BRONX,4075,ASSAULT,1,0,0,0,0,0,0,0,0,0,4075,POM,41,SGT,41,1,0,0,0,0,0,1,0,0,0,(null),Y,34,MALE,WHITE HISPANIC,5.8,200,MED,BRO,BLK
4076,11/23/2019,02:48:00,November,Saturday,O,P,PSB,41,D,WESTCHESTER AVENUE && LONGFELLOW AVENUE,WESTCHESTER AVENUE,1015275,240502,,PBBX,BRONX,4076,CPW,0,1,0,0,0,0,0,0,0,0,4076,POM,41,SGT,41,1,0,0,0,0,0,0,0,0,0,Y,(null),28,MALE,BLACK,5.1,160,THN,BRO,BLK
4077,11/23/2019,03:26:00,November,Saturday,,P,PSB,41,C,SAINT JOHN AVENUE && BECK STREET,SAINT JOHN AVENUE,1011316,236034,,PBBX,BRONX,4077,RECKLESS ENDANGERMENT,1,1,0,0,0,0,0,0,0,0,4077,POM,41,SGT,41,1,0,0,0,0,0,0,0,0,0,Y,Y,53,FEMALE,WHITE HISPANIC,5.6,150,THN,BRO,BLK
4078,11/27/2019,00:50:00,November,Wednesday,,,,41,A,GILBERT PLACE && FAILE STREET,GILBERT PLACE,1015419,237298,,PBBX,BRONX,4078,CPW,0,1,0,1,1,0,0,1,0,1,4078,POM,41,SGT,41,0,0,1,1,0,1,0,0,0,0,(null),(null),21,MALE,WHITE HISPANIC,5.11,160,THN,BLK,BRO
4079,11/28/2019,08:00:00,November,Thursday,S,T,Transit,41,D,SIMPSON STREET && WESTCHESTER AVENUE,SIMPSON STREET,1013879,239551,,PBBX,BRONX,4079,ASSAULT,0,0,0,0,0,0,0,0,0,0,4079,POM,873,SGT,873,1,0,0,0,0,0,1,0,0,0,Y,Y,48,FEMALE,WHITE HISPANIC,5.4,150,THN,GRN,BLK
4080,12/8/2019,00:08:00,December,Sunday,O,P,PSB,41,,EAST 163 STREET && REV JAMES POLITE AVENUE,EAST 163 STREET,1012220,238675,,PBBX,BRONX,4080,ROBBERY,0,1,1,0,1,0,0,0,0,0,4080,POM,41,SGT,41,1,0,0,0,0,1,1,0,0,0,(null),Y,30,MALE,WHITE HISPANIC,5.6,155,THN,BRO,BLK
4081,12/8/2019,04:36:00,December,Sunday,,,,41,D,SOUTHERN BOULEVARD && BARRETTO STREET,SOUTHERN BOULEVARD,1013847,237812,,PBBX,BRONX,4081,ROBBERY,0,1,0,0,1,0,0,0,0,0,4081,POM,41,LT,41,1,0,0,0,0,0,0,0,0,1,Y,Y,17,MALE,WHITE HISPANIC,5.9,180,MED,BRO,BLK
