,stop_id_anony,suspect_arrested_flag,frisked_flag,searched_flag,ask_for_consent_flg,consent_given_flg,other_contraband_flag,firearm_flag,knife_cutter_flag,other_weapon_flag,weapon_found_flag,suspects_actions_casing_flag,suspects_actions_concealed_possession_weapon_flag,suspects_actions_decription_flag,suspects_actions_drug_transactions_flag,suspects_actions_identify_crime_pattern_flag,suspects_actions_lookout_flag,suspects_actions_other_flag,suspects_actions_proximity_to_scene_flag,suspect_reported_age,suspect_height,suspect_weight,female,issuing_officer_rank,issuing_officer_command_code,supervising_officer_rank,supervising_officer_command_code,officer_in_uniform_flag,id_card_identifies_officer_flag,shield_identifies_officer_flag,verbal_identifies_officer_flag,identified_as_cop,stop_frisk_date,stop_frisk_time,year2,month2,day2,location_in_out_code,jurisdiction_code,jurisdiction_description,stop_location_precinct,stop_location_sector_code,stop_location_full_address,stop_location_street_name,stop_location_x,stop_location_y,stop_location_patrol_boro_name,stop_location_boro_name,race,hair_color,build_type,eye_color,suspected.crime
13034,13126.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,29.0,5.0,185.0,0.0,POM,121,SGT,121,1,0,0,0,0,2019-07-09,22:02:00,2019,July,Tuesday,O,P,PSB,121,B,192 PORT RICHMOND AVENUE,PORT RICHMOND AVENUE,946938,171209,PBSI,STATEN ISLAND,Black,Black,Medium,Black,Assult
13035,13127.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,17.0,6.0,180.0,0.0,POM,121,LT,121,1,0,0,0,0,2019-07-10,02:20:00,2019,July,Wednesday,O,P,PSB,121,A,GRANDVIEW AVENUE && CONTINENTAL PLACE,GRANDVIEW AVENUE,938361,168951,PBSI,STATEN ISLAND,Black,Black,Thin,Black,Assult
13036,13128.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,27.0,6.0,180.0,0.0,POM,121,LT,121,1,0,0,0,0,2019-07-13,19:48:00,2019,July,Saturday,O,P,PSB,121,A,20 ROXBURY STREET,ROXBURY STREET,939087,170115,PBSI,STATEN ISLAND,Black,Black,Underweight,Black,CPW
13037,13129.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,23.0,6.0,150.0,0.0,POM,121,LT,121,1,0,0,0,0,2019-07-13,19:48:00,2019,July,Saturday,O,P,PSB,121,A,20 ROXBURY STREET,ROXBURY STREET,939087,170115,PBSI,STATEN ISLAND,Black,Black,Thin,Black,CPW
13038,13130.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,25.0,6.0,150.0,0.0,POM,121,LT,121,1,0,0,0,0,2019-07-13,19:48:00,2019,July,Saturday,O,P,PSB,121,A,20 ROXBURY STREET,ROXBURY STREET,939087,170115,PBSI,STATEN ISLAND,Black,Black,Medium,Black,CPW
13039,13131.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,17.0,6.0,160.0,0.0,POM,121,SGT,121,1,0,0,0,0,2019-07-16,01:46:00,2019,July,Tuesday,O,P,PSB,121,C,HAROLD STREET && JOSEPH AVENUE,HAROLD STREET,946263,158239,PBSI,STATEN ISLAND,White Hispanic,Brown,Thin,Brown,Unauthorized Use of a Vehicle
13040,13132.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,36.0,6.0,150.0,0.0,POM,121,SGT,121,1,0,0,0,0,2019-07-20,13:30:00,2019,July,Saturday,I,P,PSB,121,A,2222 FOREST AVENUE,FOREST AVENUE,938768,167708,PBSI,STATEN ISLAND,Black,Black,Thin,Black,Assult
13041,13133.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,21.0,5.0,150.0,0.0,POM,121,SGT,121,1,0,0,0,0,2019-07-27,15:34:00,2019,July,Saturday,O,P,PSB,121,B,FOREST AVENUE && WILLOWBROOK ROAD,FOREST AVENUE,944270,167010,PBSI,STATEN ISLAND,Black,Black,Thin,Black,Burglary
13042,13134.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,19.0,6.0,120.0,0.0,POM,121,SSA,121,0,0,1,1,0,2019-07-27,00:02:00,2019,July,Saturday,O,P,PSB,121,B,94 SAINT JOSEPHS AVENUE,SAINT JOSEPHS AVENUE,944891,170488,PBSI,STATEN ISLAND,White Hispanic,Brown,Thin,Brown,CPW
13043,13135.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,59.0,5.0,200.0,0.0,POM,121,SGT,121,1,0,0,0,0,2019-07-30,16:13:00,2019,July,Tuesday,I,P,PSB,121,D,140 MARSH AVENUE,MARSH AVENUE,942822,166353,PBSI,STATEN ISLAND,Black,Black,Thin,Black,Petit Larceny
13044,13136.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,49.0,5.0,180.0,0.0,POM,121,SSA,121,0,0,1,0,0,2019-08-06,23:14:00,2019,August,Tuesday,O,H,Housing,121,A,LOCKMAN AVENUE && BRABANT STREET,LOCKMAN AVENUE,939363,169442,PBSI,STATEN ISLAND,Black,Bald,Medium,Black,Menacing
13045,13137.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,49.0,5.0,165.0,0.0,POM,121,SGT,121,1,0,0,0,0,2019-08-10,15:46:00,2019,August,Saturday,O,P,PSB,121,A,FOREST AVENUE && SOUTH AVENUE,FOREST AVENUE,938016,167887,PBSI,STATEN ISLAND,Black,Black,Thin,Black,Petit Larceny
13046,13138.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,20.0,6.0,140.0,0.0,POM,123,SGT,120,1,0,0,0,0,2019-08-17,05:25:00,2019,August,Saturday,O,P,PSB,121,B,CASTLETON AVENUE && PARK AVENUE,CASTLETON AVENUE,947138,170849,PBSI,STATEN ISLAND,Black,Black,Thin,Black,CPW
13047,13139.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,22.0,6.0,150.0,0.0,POF,121,LT,121,1,0,0,0,0,2019-08-22,18:56:00,2019,August,Thursday,O,P,PSB,121,B,INNIS STREET && NICHOLAS AVENUE,INNIS STREET,944978,170105,PBSI,STATEN ISLAND,Black,Black,Thin,Black,CPW
